Tamb,I,Tcool_in,mass_flowrate,eff_gain,Tp_no_cool,Tp_cool
35.9,407,23.97527909417722,0.0003020408163265306,0.0131962317888208,319.863533036890,309.03787113524874
33.5,190,24.23551739495761,0.0001,0.00860144130875939,311.793197644598,306.63791425206733
24.8,132,26.083045847129853,0.006767346938775511,0.00331176202809931,301.642089434516,297.9550138723256
28.3,337,27.314555064790127,0.006969387755102042,0.00828953734819191,310.673511301506,301.45539812754305
32.1,549,24.608684477119994,0.0001,0.0133627953425396,319.932307094132,305.24856883574745
34.9,740,23.246149073391422,0.0003020408163265306,0.0181280466689811,327.474151405978,308.04536735773587
36.8,893,29.874870120971362,0.007575510204081634,0.0207949953071629,333.070399057477,309.95681016358407
38.3,993,23.75340981080363,0.0003020408163265306,0.0234277206663739,336.907161600914,311.4456798682828
39.400000000000006,1036,23.17642785934147,0.0003020408163265306,0.0248733538547162,338.955113829468,312.5436738103135
40.0,1000,23.182861795419704,0.0003020408163265306,0.0245831849114187,338.626006276045,313.1418831281141
40.1,924,24.51798655226711,0.0003020408163265306,0.0227861261717448,336.863960573394,313.2424253488534
39.7,774,26.396222702694004,0.0003020408163265306,0.0192986482427241,332.796187331025,312.84321841829166
38.8,604,23.04095283159235,0.0003020408163265306,0.0183390784174821,327.688675489214,311.93536641513765
38.0,862,26.807941357726403,0.0001,0.0201080375576903,333.406195619442,311.14874355635493
40.1,1004,22.044292166911507,0.0003020408163265306,0.0252879314116181,338.814224992061,313.2398158605214
40.6,940,23.98768512492223,0.0003020408163265306,0.0235274897196522,337.712943456922,313.7409730646652
40.7,762,24.133052338851826,0.0003020408163265306,0.0209504474579408,333.428643556337,313.83729641744185
38.6,704,25.87437061249153,0.0003020408163265306,0.0179756943075814,330.021985597896,311.74274591847814
40.2,858,23.65717234888993,0.0003020408163265306,0.0223318374233008,335.336350833986,313.33936373555133
41.5,953,23.931392700715207,0.0003020408163265306,0.0241809107371050,338.852893714227,314.639586055655
42.3,1010,28.65180641292851,0.0003020408163265306,0.0230260748397661,340.961364500250,315.4475992425428
42.900000000000006,988,25.8250596461322,0.0003020408163265306,0.0243060571934903,340.977870134317,316.0411820936633
43.1,909,30.78565426503138,0.0001,0.0208832484463387,339.251564209178,316.2477855141673
42.900000000000006,766,27.829750694635706,0.0003020408163265306,0.0199837882659855,335.574972739255,316.039980894467
42.400000000000006,602,25.51545571909884,0.0003020408163265306,0.0188393824107046,331.039272134518,315.53336899012083
41.5,399,23.05994077594336,0.0003020408163265306,0.0171758426496248,325.047175015768,314.62638381650146
39.5,191,23.16753590325955,0.0003020408163265306,0.0129810938890195,317.711956866795,312.6256567569054
30.200000000000003,128,24.046193280769394,0.0001,0.00578286676369130,306.865200300991,303.34201007888987
33.4,330,25.492828645521865,0.0001,0.00979110118774784,315.426918007599,306.543225923967
36.9,540,22.478303314015378,0.0003020408163265306,0.0166829970378901,324.257847644886,310.03633940085547
39.5,731,27.23618128184089,0.0003020408163265306,0.0180782087361765,331.538994898301,312.6441178306236
41.1,883,22.721867112570227,0.0003020408163265306,0.0236752734914728,336.779261621950,314.236702870632
42.900000000000006,1029,26.460126489861263,0.0003020408163265306,0.0245811467666199,341.963681387043,316.0431503620229
43.3,1013,28.327718755224662,0.0003020408163265306,0.0235531119367511,341.943296174212,316.44536231378197
43.5,932,28.611700616645223,0.0003020408163265306,0.0222895421461207,340.175287712363,316.64379926303735
43.2,796,26.933012025146283,0.0003020408163265306,0.0210855120398193,336.590000456563,316.3385348464855
42.5,614,22.57891178898923,0.0003020408163265306,0.0209258824764156,331.433601215461,315.62834704190914
41.3,406,23.860254156133283,0.0003020408163265306,0.0165921613565098,325.033640660744,314.4282692610841
38.7,194,27.621783350849938,0.0001,0.00970686467564965,317.005339747544,311.8348478010559
30.1,333,22.231966939077683,0.0001,0.00993146085340823,312.309450373059,303.2433572098066
32.6,543,21.40458060432291,0.0003020408163265306,0.0149356790869193,320.250783458941,305.7420074277607
34.4,734,23.505143964049942,0.0001,0.0177560998305291,326.855626694929,307.54655930541645
35.5,888,20.248878462154863,0.0003020408163265306,0.0223921502027037,331.750760294466,308.6422406475763
36.3,1032,24.703266286614813,0.004342857142857144,0.0239294071172475,336.044525986884,309.45162722439
36.2,1008,26.220817440086837,0.006161224489795919,0.0234028679056412,335.363864471794,309.3539309020538
33.300000000000004,611,19.269899292137247,0.0003020408163265306,0.0176409118591477,322.675192387325,306.4385176509836
31.3,405,23.963354456592445,0.0001,0.0107462035746985,315.385292833640,304.4457994057807
29.0,196,24.830122614748245,0.0001,0.00563202985661995,307.537506147972,302.1468912578416
